Chromosomes,Start,End,Count
ChrA01,11873,14409,3
ChrA01,11873,14409,3
ChrA01,11873,14409,3
ChrA01,14361,16765,4
ChrA01,14361,17751,2
ChrA01,14361,18061,5
ChrA01,14361,19759,9
ChrA01,14361,19759,10
ChrA01,14361,19759,10
ChrA01,14361,19759,6
ChrA01,14361,29370,11
ChrA01,14406,29370,10
ChrA01,14406,29370,7
ChrA01,15602,29370,11
ChrA01,15795,29370,7
ChrA01,16606,29370,7
ChrA01,16606,29370,7
ChrA01,16857,29370,9
ChrA01,16857,29370,8
ChrA01,16857,29370,8
ChrA01,16857,29370,4
ChrA01,17232,29370,7
ChrA01,17605,29961,7
ChrA01,34610,36081,3
ChrA01,69090,70008,1
ChrA01,134772,140566,3
ChrA01,321083,321115,1
ChrA01,321145,321207,1
ChrA01,322036,325896,4
ChrA01,323891,326938,3
ChrA01,324287,328439,1
ChrA01,327545,328581,3
ChrA01,367658,368597,1
ChrA01,420205,421839,3
ChrA01,566092,566115,1
ChrA01,566134,566155,1
ChrA01,566239,566263,1
ChrA01,568843,568913,1
ChrA01,621095,622034,1
ChrA01,661138,665731,3
ChrA01,661138,668479,1
ChrA01,661138,668541,1
ChrA01,668417,670994,3
ChrA01,668509,671885,1
ChrA01,671823,671947,1
ChrA01,671915,679736,7
ChrA01,674239,679736,5
ChrA01,700244,714068,7
ChrA01,761585,762902,1
ChrA01,762970,778984,3
ChrA01,762970,794826,6
ChrA01,762970,794826,5
ChrA01,762970,794826,4
ChrA01,762970,794826,4
ChrA01,763177,794826,5
ChrA01,803450,812182,3
ChrA01,846814,850328,2
ChrA01,852952,854817,4
ChrA01,852952,854817,4
ChrA01,860529,871276,5
ChrA01,861120,879533,12
ChrA01,861301,879533,13
ChrA01,861301,879533,5
ChrA01,861301,879533,7
ChrA01,861301,879961,14
ChrA01,861301,879961,13
ChrA01,861301,879961,11
ChrA01,861301,879961,12
ChrA01,861301,879961,11
ChrA01,861301,879961,12
ChrA01,861301,879961,12
ChrA01,861301,879961,13
ChrA01,861301,879961,14
ChrA01,861301,879961,12
ChrA01,861301,879961,13
ChrA01,861301,879961,13
ChrA01,861301,879961,10
ChrA01,861301,879961,10
ChrA01,861301,879961,9
ChrA01,861301,879961,13
ChrA01,861301,879961,13
ChrA01,861301,879961,12
ChrA01,861301,879961,13
ChrA01,861301,879961,11
ChrA01,861301,879961,10
ChrA01,861301,879961,8
ChrA01,861301,879961,8
ChrA01,861301,879961,12
ChrA01,861301,879961,12
ChrA01,861301,879961,13
ChrA01,861301,879961,12
ChrA01,874654,879961,13
ChrA01,876523,879961,6
ChrA01,879582,882440,5
ChrA01,879582,893918,17
ChrA01,879582,894679,19
ChrA01,879582,894679,19
ChrA01,893648,894679,2
ChrA01,895966,897858,2
ChrA01,896828,897858,2
ChrA01,897008,899229,3
ChrA01,897460,901099,12
ChrA01,897734,901099,8
ChrA01,901876,910484,16
ChrA01,901876,910484,15
ChrA01,901876,910484,15
ChrA01,910578,912021,2
ChrA01,910578,917473,5
ChrA01,934341,935552,4
ChrA01,934341,935552,3
ChrA01,948846,949919,2
ChrA01,955502,991499,36
ChrA01,995082,997436,5
ChrA01,995116,1001833,4
ChrA01,1007125,1007946,1
ChrA01,1007196,1009687,2
ChrA01,1017197,1026945,9
ChrA01,1017197,1027554,8
ChrA01,1017197,1051736,10
ChrA01,1017197,1051736,12
ChrA01,1017197,1051736,12
ChrA01,1017197,1051736,11
ChrA01,1072396,1079434,3
ChrA01,1102483,1102578,1
ChrA01,1103242,1103317,1
ChrA01,1103295,1103332,1
ChrA01,1104384,1104456,1
ChrA01,1104434,1104467,1
ChrA01,1108435,1114935,2
ChrA01,1109285,1121243,9
ChrA01,1109285,1133313,16
ChrA01,1115076,1133313,16
ChrA01,1138887,1141060,4
ChrA01,1138887,1142089,5
ChrA01,1138887,1142089,5
ChrA01,1138887,1142089,4
ChrA01,1146705,1149548,7
ChrA01,1146719,1149548,5
ChrA01,1152287,1156731,3
ChrA01,1152287,1159348,2
ChrA01,1152287,1167447,7
ChrA01,1152287,1167447,7
ChrA01,1158103,1167447,7
ChrA01,1167628,1170420,1
